Gene	Exac_missense_score	Exac_pLi_score
B3GALT6	3.1133532539868	0.0450221283731607
GLTPD1	-0.424061137241055	0.00927755419021904
FAM132A	-1.00193340325096	3.22922836329489e-05
TNFRSF4	-0.0409717476051904	0.00585312009671163
NOC2L	-1.94580351938746	1.95434996883495e-19
OR4F5	3.54158912707877	0.550302420215064
SAMD11	-3.77047119877314	3.87526200981969e-10
TNFRSF18	-1.41253824961664	6.23194824824941e-07
SCNN1D	-2.64405402189371	8.8902870607244e-15
TTLL10	-1.5313515802731	9.62326935096604e-05
PUSL1	-0.584143608368987	3.88714831705618e-12
CPSF3L	1.19093794509913	1.35479174307987e-08
C1orf159	-0.160281637102212	0.338519010089551
ISG15	0.417526649178441	0.00889061739074356
KLHL17	0.617209498404124	4.71815672240551e-06
PLEKHN1	-3.55385927650683	5.57433430125823e-08
SDF4	1.14813409203388	0.0289652556692098
ACAP3	1.97465835524928	0.3607315497075
AGRN	-0.0668852303480703	0.0403025247483816
HES4	1.5244086219778	0.000129277219206069
UBE2J2	2.24540404525423	0.357846978500446
MRPL20	-0.878598024171968	0.00453577890877249
MXRA8	2.00118902445037	0.0168594388677636
ATAD3A	2.26645252182894	0.365148391923221
CCNL2	1.80379073481414	0.245314733212433
MIB2	1.13527184953615	7.40040656620047e-05
GNB1	4.77953132235106	0.992619254481743
CDK11A	0.406827513945819	0.000158976116954734
AURKAIP1	0.68250430322412	0.00211270101317934
SLC35E2	3.09536168526369	0.349439088525815
SLC35E2B	3.12040605659869	0.608893381337137
SSU72	2.86711782627009	0.564404482276589
CALML6	-0.816070960936181	0.000769535943410194
ATAD3C	-0.672436235600379	0.00512189176598773
CDK11B	4.42890015829973	0.623817703204518
NADK	2.23580233631655	0.0038785358707204
VWA1	0.717387967870024	0.028165258626152
DVL1	-1.09836587313862	0.0986622740706474
ATAD3B	0.864928376111267	2.43516089076847e-08
PEX10	-0.456487685617881	0.00759212357145324
PLCH2	0.435768672270203	4.21687085274729e-08
TMEM52	-0.0515427579487699	0.308341033556288
TNFRSF14	0.0722772838552307	0.778669135363051
FAM213B	1.06327282078657	0.000124138554237153
ARHGEF16	0.520156970057146	3.91619406067026e-08
TPRG1L	0.715856184694023	0.00216675427983727
C1orf86	0.528029610947638	0.765901926982102
MORN1	-1.91939505328541	2.55828481135159e-06
GABRD	3.09853909930201	0.896246204517209
PANK4	3.3331220654267	0.889370462811088
PRDM16	2.03623054868784	0.999584740224919
HES5	-0.125173691268963	0.52698478100902
CCDC27	-0.524777768825805	3.8852567857919e-18
WRAP73	0.0961659263326129	0.0795241799258356
RER1	2.19060203725037	0.959750960822106
SKI	2.87522070719807	0.974603148044117
TP73	1.69051991197321	0.958447413841388
ACTRT2	-0.254213358077299	0.0163319913680063
MEGF6	-0.708160713772093	6.58609932277098e-13
PRKCZ	2.95686962017695	0.168245852334177
MMEL1	0.0205373225834735	3.50656383362757e-08
KLHL21	2.33904601365303	0.00456364713532163
NOL9	1.73430068807633	0.012298649233028
PLEKHG5	1.08931850849842	1.60918911190102e-05
ESPN	-0.248354511500324	0.00160542054175191
RPL22	2.34677123524214	0.326102434980424
CHD5	6.12549295529133	0.999999965617239
PHF13	2.07485537933843	0.9163085574671
AJAP1	1.30439591418746	0.969882219565358
TNFRSF25	1.2844572433142	0.356591171708992
RNF207	-0.0426629747970732	7.69141996735437e-05
LRRC47	1.94598018446585	0.529754993880553
C1orf174	-0.051314062552656	0.0146747109627884
TAS1R1	-0.216375661493328	2.81061136637062e-08
CEP104	0.120935947847376	0.000169833572418859
ACOT7	2.61465038584589	0.300136536295273
GPR153	0.767254619586047	0.00188302524336442
KCNAB2	2.90983422507405	0.778264404232234
DFFB	0.459448205991789	0.00131092581728144
ICMT	2.51530347802954	0.947949712423458
ZBTB48	1.76078291189282	0.540370351607024
NPHP4	-1.65202839322848	2.5994150055873e-14
HES3	1.76135866313596	0.254594856148862
THAP3	0.77209113220655	0.00114999584528284
HES2	1.97618499336054	0.0614173440358627
CLSTN1	0.882897573969892	0.916938875443746
RERE	3.79531457484781	0.999982433472954
SLC25A33	1.24381274442583	0.38898160679643
